x-axis,1,2
second,Volt,Volt
+31.10000E-03,+69.46733594E+00,+1.19120602E+00
+31.12900E-03,+70.23919523E+00,+1.17864320E+00
+31.15800E-03,+69.61205956E+00,+1.15477386E+00
+31.18700E-03,+69.46733594E+00,+1.15100501E+00
+31.21600E-03,+69.61205956E+00,+1.17110551E+00
+31.24500E-03,+69.99798920E+00,+1.17110551E+00
+31.27400E-03,+69.46733594E+00,+1.15477386E+00
+31.30300E-03,+69.70854197E+00,+1.15728642E+00
+31.33200E-03,+70.09447161E+00,+1.15477386E+00
+31.36100E-03,+70.23919523E+00,+1.15728642E+00
+31.39000E-03,+70.23919523E+00,+1.15100501E+00
+31.41900E-03,+69.46733594E+00,+1.15100501E+00
+31.44800E-03,+70.86633090E+00,+1.17110551E+00
+31.47700E-03,+0.0E+00,-48.74372E-03
+31.50600E-03,+144.72362E-03,-38.69347E-03
+31.53500E-03,+530.65326E-03,-34.92462E-03
+31.56400E-03,+627.13567E-03,-34.92462E-03
+31.59300E-03,+530.65326E-03,-34.92462E-03
+31.62200E-03,+0.0E+00,-38.69347E-03
+31.65100E-03,+0.0E+00,-34.92462E-03
+31.68000E-03,+0.0E+00,-34.92462E-03
+31.70900E-03,+241.20603E-03,-48.74372E-03
+31.73800E-03,+0.0E+00,-34.92462E-03
+31.76700E-03,+0.0E+00,-34.92462E-03
+31.79600E-03,-627.13567E-03,-47.48744E-03
+31.82500E-03,+0.0E+00,-34.92462E-03
+31.85400E-03,+0.0E+00,-34.92462E-03
+31.88300E-03,+0.0E+00,-41.20603E-03
+31.91200E-03,+627.13567E-03,-18.59297E-03
+31.94100E-03,+530.65326E-03,-34.92462E-03
+31.97000E-03,+627.13567E-03,-55.02513E-03
+31.99900E-03,+771.85929E-03,-48.74372E-03
+32.02800E-03,+0.0E+00,-58.79397E-03
+32.05700E-03,+0.0E+00,-34.92462E-03
+32.08600E-03,+0.0E+00,-38.69347E-03
+32.11500E-03,+0.0E+00,-14.82412E-03
+32.14400E-03,+0.0E+00,-38.69347E-03
+32.17300E-03,+530.65326E-03,-48.74372E-03
+32.20200E-03,+0.0E+00,-34.92462E-03
+32.23100E-03,+0.0E+00,-28.64322E-03
+32.26000E-03,+0.0E+00,-18.59297E-03
+32.28900E-03,+289.44723E-03,-21.10553E-03
+32.31800E-03,+0.0E+00,-31.15578E-03
+32.34700E-03,+0.0E+00,-34.92462E-03
+32.37600E-03,+0.0E+00,-34.92462E-03
+32.40500E-03,+0.0E+00,-34.92462E-03
+32.43400E-03,-627.13567E-03,-51.25628E-03
